preTest,postTest,group,collaboration,argumentation,cooperative
79.62541845982196,84.15195211079055,21,0.44501457154636487,0.0,0.0
82.9130367147068,78.83484423420698,21,9.980315358731792,2.0,2.0
75.12708975164941,83.17127254277796,21,6.278544475125731,0.0,0.0
77.8292327388733,80.1443912883307,21,6.800668243929626,2.0,1.0
81.12844893858372,79.66117479925244,21,6.81474026886254,0.0,1.0
70.62094771372833,79.38011801930628,21,6.836681682643151,0.0,2.0
64.84630936932201,86.05201915193373,21,6.9343977477271554,1.0,1.0
67.60198112410673,85.4594675772081,21,5.5626861560215,1.0,1.0
73.07222243296816,80.0155927854268,21,7.215581320026601,1.0,2.0
85.27945883124242,87.23124840128673,21,3.8875360417937608,1.0,1.0
75.57040873109229,76.30369865554766,21,4.61080780804767,0.0,1.0
76.58790911177582,79.63203704210856,21,3.2983157598523842,1.0,1.0
78.76010872811516,81.59846075183212,21,7.671394009565185,1.0,1.0
78.87690834182285,84.08763943896788,21,4.605751253972295,1.0,1.0
75.52034959045635,84.35130093458925,21,4.317353016733611,1.0,1.0
68.696222803735,79.928185183371,21,6.940134693341767,2.0,1.0
69.98216703514639,79.52092281089121,21,6.765660882359312,1.0,1.0
67.35020679016087,83.52223479297243,21,3.0319488065976783,0.0,0.0
84.28143920514931,85.1063087353708,21,-3.4880742748203843,0.0,1.0
79.7232762327028,86.56230621732792,21,8.566915610210662,1.0,1.0
83.87989939032805,81.45054537383453,21,-0.3289131387721387,1.0,-2.0
78.93383177397128,85.11909059169524,21,6.410189816649561,1.0,1.0
79.66409766523566,83.0789319468734,21,5.9946492802917675,0.0,1.0
74.99720767604968,80.37543733541156,21,3.9945227202704245,1.0,1.0
68.87285403880033,84.90211349534259,21,6.332676021087441,1.0,1.0
82.4980420558884,83.90577334571455,21,3.8051984972211232,0.0,1.0
88.79292571165084,82.62030787004873,21,8.391065950306157,1.0,1.0
79.830906169588,84.22505185343519,21,5.110971082936468,1.0,1.0
78.9685393578092,84.03676263742304,21,5.97671414952775,1.0,1.0
86.38236543859576,84.86082268066347,21,3.2343182829611123,0.0,0.0
89.05501884417284,85.55426061053703,21,-3.6093244047374644,0.0,-2.0
81.58709548815769,84.37160424767569,21,9.159562520897186,1.0,1.0
80.67965288233886,75.33905722230837,21,6.844305189859341,1.0,1.0
71.07555407872606,80.2026211438545,21,6.604600750764727,0.0,2.0
86.02472782329349,79.35342381390618,21,4.5286227847751395,0.0,1.0
83.33700269510528,82.08948912256497,21,3.913192150620879,0.0,1.0
81.70722089073985,80.34588186911714,21,7.727035392514602,1.0,1.0
80.74029557985267,77.8472023514941,21,1.8184891235640297,0.0,0.0
93.98080615541909,82.43714783417514,21,3.349681821604733,0.0,1.0
71.34434602311059,80.21367808260536,21,2.6021542313251294,0.0,1.0
77.28663643333088,83.17349529586095,21,-2.41853159399576,0.0,0.0
82.94843811770389,78.72294980143599,21,10.56547195467163,0.0,2.0
